NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DE22,19.1,22.6,26.7,33.3,38.1,40.1,41.5,31.7,26.1,31.6,24.0,17.8,20.8,20.9,18.5,16.7,13.7,14.1,13.6,13.6,,13.5
DE23,24.1,25.5,26.3,34.7,37.7,36.4,38.6,29.9,24.3,28.4,22.3,19.1,18.1,19.7,16.2,16.4,16.9,13.3,11.7,13.6,,15.5
DE24,26.4,28.8,38.0,47.4,53.8,56.5,53.8,42.8,34.8,36.9,31.8,23.0,18.1,22.1,22.5,21.4,19.1,17.1,13.1,13.5,,19.4
DE25,47.4,39.8,46.7,61.8,71.8,74.5,68.9,58.6,49.4,58.6,49.6,36.2,33.2,27.7,28.5,27.5,23.5,19.9,17.2,19.3,31.6,29.8
DE26,28.4,27.5,34.7,40.8,48.8,55.0,42.6,39.6,30.5,38.9,34.2,23.5,23.9,22.7,20.5,21.2,17.3,15.9,14.1,14.3,,20.2
DE27,33.0,33.2,35.3,51.4,60.3,58.5,56.5,45.9,38.5,43.2,39.2,31.3,29.9,31.1,28.8,28.7,27.1,26.7,24.7,23.3,27.3,30.7
DE30,246.6,259.1,267.8,311.4,331.2,343.3,333.7,293.5,269.3,246.0,220.0,201.1,182.1,185.6,178.8,172.5,146.6,134.0,119.4,104.4,118.6,112.9
DE40,221.1,229.8,226.3,247.3,259.6,249.8,231.5,192.0,158.3,156.5,132.0,115.5,107.2,94.3,86.1,73.1,60.0,58.0,53.1,43.8,52.2,38.7
DE50,30.9,26.2,29.6,34.6,44.2,52.2,45.6,38.2,30.3,28.3,24.9,24.9,21.2,22.5,21.8,17.9,18.4,14.7,14.6,17.7,,21.7
DE60,67.1,61.0,70.8,82.9,91.7,93.3,90.3,83.4,65.7,68.2,63.5,48.2,48.3,43.9,47.4,41.2,40.1,42.1,41.3,36.7,48.4,46.3
DE71,94.2,95.8,101.4,126.2,143.6,153.4,152.2,137.8,118.5,122.2,110.6,91.8,93.9,86.1,88.3,83.2,82.5,72.7,65.6,65.7,87.7,86.7
DE72,32.1,25.9,27.2,38.5,42.7,47.1,44.7,37.5,34.6,35.2,30.8,26.6,26.0,23.8,23.8,20.3,21.9,19.0,19.2,17.6,26.6,18.4
DE73,40.2,41.2,43.2,43.7,44.2,55.4,50.6,48.4,45.1,39.4,35.5,27.3,27.5,26.5,27.1,22.5,22.7,15.5,18.2,17.9,,19.3
DE80,150.5,167.5,171.3,181.9,196.4,197.4,177.9,159.3,133.2,125.0,107.4,85.3,89.8,82.9,78.3,62.9,50.8,41.0,37.8,31.3,36.2,30.3
DE91,55.8,60.3,68.7,75.6,78.1,88.2,79.5,70.0,68.3,67.3,54.4,49.2,43.4,48.8,42.7,39.0,36.8,35.4,32.4,26.9,37.3,32.8
DE92,73.0,64.0,72.3,80.7,99.4,108.1,110.9,88.9,80.0,84.0,72.0,69.7,57.5,58.1,55.5,50.8,50.7,48.8,45.2,39.3,41.9,32.1
DE93,48.9,46.6,50.2,63.9,69.2,77.4,73.5,60.8,52.0,45.6,47.2,44.4,36.6,36.5,34.3,30.7,28.6,29.7,21.3,23.0,32.1,27.0
DE94,61.1,60.5,71.5,90.8,100.9,120.8,110.0,84.6,74.5,70.5,71.7,50.9,52.8,50.2,51.2,49.9,47.7,39.7,36.2,39.3,41.8,46.3
DEA1,159.5,142.7,174.2,216.8,235.8,261.9,244.7,215.5,186.1,193.5,186.2,168.7,161.6,159.9,160.7,149.9,125.7,112.6,110.5,99.6,129.6,115.1
DEA2,117.4,110.1,123.9,157.3,161.7,194.5,191.2,165.4,149.3,153.5,146.5,125.8,113.8,124.2,113.9,104.2,88.7,84.6,82.6,78.1,91.5,92.4
DEA3,61.1,65.9,78.9,102.6,102.4,115.6,113.6,91.6,81.2,92.3,82.9,66.5,62.3,64.6,63.1,57.0,56.4,50.7,48.3,46.2,52.2,47.9
DEA4,54.0,55.2,71.2,77.4,90.9,102.1,100.1,81.0,72.1,77.9,68.9,54.9,48.2,51.1,51.5,48.7,43.0,40.5,34.4,31.5,37.9,39.7
DEA5,130.4,117.2,134.8,169.8,183.5,214.1,195.8,170.0,154.5,162.8,140.2,123.1,114.7,113.5,99.7,98.7,88.0,82.4,71.7,71.0,90.2,75.9
DEB1,,,39.8,46.2,52.7,64.7,58.1,47.3,42.8,49.7,38.2,33.0,29.9,28.0,30.3,26.0,26.2,24.1,21.3,17.5,,20.7
DEB2,,,10.9,11.6,14.3,18.7,16.1,13.9,13.9,12.4,11.2,11.2,7.3,8.3,8.5,8.1,7.8,5.9,7.4,5.8,,
DEB3,,,55.8,62.2,64.3,90.2,87.8,60.1,57.5,58.6,60.2,52.1,44.0,45.3,40.7,42.2,42.8,40.3,36.6,35.6,46.0,48.5
DEC0,35.0,27.5,36.2,38.3,40.6,52.2,46.2,34.8,34.8,41.1,32.9,27.7,30.6,29.4,28.3,27.3,24.4,22.4,18.1,18.2,,15.7
DED2,138.7,150.7,148.4,140.4,159.2,158.8,139.5,116.0,105.4,101.8,85.8,71.0,60.4,58.1,60.0,50.7,39.4,34.9,32.3,28.1,30.0,27.0
DED4,,,,,,151.3,137.0,113.7,103.0,100.7,88.5,67.0,58.7,55.2,47.3,39.2,32.4,30.0,24.1,25.9,,16.1
DED5,,,,,,108.8,96.1,93.0,77.8,70.1,63.2,57.5,48.8,48.0,43.4,40.6,32.6,26.8,25.8,25.7,26.6,23.3
DEE0,266.8,261.3,249.0,256.0,288.1,263.1,229.8,199.6,183.9,170.9,136.3,125.1,110.6,104.5,100.5,90.8,83.2,76.0,57.1,49.4,51.0,44.5
DEF0,84.0,84.9,100.9,115.7,130.0,143.1,127.5,113.0,97.2,104.0,92.5,81.4,70.7,68.5,65.0,59.2,57.7,52.3,45.8,43.0,51.6,48.7
DEG0,170.3,172.5,186.0,197.9,198.8,209.8,192.2,170.0,129.8,127.9,100.4,88.4,83.3,68.4,67.1,63.5,56.7,48.7,44.6,40.3,43.6,36.7
EE00,90.4,88.0,65.6,75.9,69.0,53.8,41.0,31.6,37.8,93.1,113.9,84.8,68.5,58.7,49.6,43.3,47.2,40.1,37.6,31.3,48.4,43.1
IE04,,,,,,,,,,,,,60.4,51.7,45.1,39.7,34.1,25.0,22.6,19.7,20.3,21.8
IE05,,,,,,,,,,,,,124.5,107.8,94.4,80.5,65.6,54.0,47.4,42.7,44.7,53.2
IE06,,,,,,,,,,,,,158.7,149.0,128.0,106.0,95.2,78.8,67.5,58.5,71.7,85.1
EL30,201.7,180.7,166.5,158.6,173.9,170.4,160.7,147.5,127.5,175.0,240.5,338.2,481.8,527.5,499.0,449.1,405.8,376.1,342.2,294.0,240.4,202.5
EL41,5.4,4.6,7.5,5.7,7.4,8.4,7.6,6.4,3.5,5.0,7.5,11.8,18.5,18.5,17.9,14.2,15.1,20.1,20.3,16.0,14.4,11.5
EL42,13.2,13.3,22.9,16.1,12.6,13.8,12.6,13.8,12.4,19.2,22.4,23.4,23.8,33.2,31.1,23.1,27.4,24.4,26.7,21.1,23.5,27.1
