NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CZ07,6500.48,7292.8,8214.76,8349.64,9005.27,10105.83,11374.71,12587.39,14877.34,13718.8,14396.45,15280.01,14988.37,14700.51,14770.91,15726.08,16441.13,18070.69,19343.63,20772.66,19970.82,22046.77
CZ08,6445.99,7264.91,8199.17,8275.58,9331.76,11073.37,12222.35,13628.6,15918.79,14209.86,15136.81,16201.73,15994.18,15038.84,15118.06,15966.14,16657.4,17904.95,19515.96,19857.55,18561.03,20780.59
DK01,65298.68,67803.51,68469.16,70287.25,74539.72,79913.72,81354.41,84035.63,87990.83,85989.63,93399.89,93288.52,97256.44,100665.88,105454.55,111122.75,114206.25,120180.22,123896.13,126164.55,128114.79,146827.39
DK02,18740.66,19656.63,20564.79,21022.51,21885.77,22577.3,24028.29,24453.89,24256.99,23437.26,24547.41,24744.87,25470.62,25452.3,25982.97,27592.28,27994.79,29174.64,29946.35,31036.51,30979.16,33019.42
DK03,35098.34,36215.34,37644.84,38299.76,39542.9,40170.85,43497.35,45666.55,47190.58,45297.1,47069.34,48275.03,49040.88,50154.47,51473.07,52592.07,54162.58,55445.69,56444.58,58118.97,58047.58,62431.26
DK04,36762.94,38346.22,40096.67,40349.19,41814.13,42750.77,46690.59,48318.23,49903.05,48727.31,49135.58,51001.37,51529.73,52311.72,53675.21,54150.96,58887.63,61143.11,62349.18,64902.28,66398.49,70995.41
DK05,16647.03,17177.02,18143.83,18456.3,18511.92,18973.06,20513.16,21431.49,21888.78,21130.46,21366.13,21628.14,22342.4,22603.35,22880.11,23613.64,24388.31,25456.44,25694.3,26179.69,26116.57,27459.88
DE11,130490.34,138049.56,138067.42,140563.3,140775.89,139997.23,150693.09,160313.59,159150.33,145122.49,160270.92,170365.17,175849.17,180470.23,187384.86,198850.19,201929.14,213043.33,222259.44,220990.79,213392.32,226172.7
DE12,78220.76,81500.25,82997.33,83378.9,84740.06,86402.35,91214.23,95263.89,97769.19,91937.62,97379.29,101910.76,103103.95,105006.11,109251.07,113393.3,116091.12,121332.53,125349.02,129135.63,124483.17,132962.04
DE13,53551.77,55132.91,55615.06,55922.76,56984.23,57720.74,61039.98,63806.21,65558.16,61551.63,65611.45,69679.68,70820.85,73082.53,76710.87,79014.61,81276.92,84325.92,87463.17,90681.69,88338.05,93904.27
DE14,46559.95,48395.01,48830.6,49299.12,50775.65,51668.4,54336.07,57637.7,59425.08,54851.24,59635.41,63652.87,64833.96,66807.63,69335.85,72087.91,75618.64,78596.75,81476.73,84683.96,82956.08,88303.45
DE21,154347.92,161685.69,164678.28,163346.27,169048.72,171935.94,179503.63,189538.85,188279.89,185645.89,195130.47,209775.43,216346.92,225083.98,234156.72,245114.86,255771.58,268797.16,273993.75,286849.73,278974.83,299232.87
DE22,27300.09,29015.37,29693.82,29524.89,30756.18,31145.27,32277.6,34024.41,34362.86,33596.18,36652.07,39174.78,39145.71,40316.14,42811.32,43883.57,45534.06,47926.25,48436.53,50310.3,50219.18,53504.54
DE23,26664.17,26987.6,27988.62,27989.09,28655.8,29351.08,30449.28,32511.74,33336.61,32210.48,34601.81,36823.82,37654.05,38675.06,41027.3,42167.13,43575.02,46171.65,47139.68,48721.11,48181.59,51111.74
DE24,25329.71,26384.53,26350.08,25973.03,26769.3,26804.67,28354.17,29200.3,29328.25,29366.98,30812.44,32509.9,33272.79,33917.58,35070.77,36735.62,38118.81,39994.19,40942.13,42042.41,41214.82,43282.91
DE25,47367.83,47509.34,49214.43,49119.3,51472.33,50996.32,53005.13,55357.23,57002.56,56050.38,58315.09,61933.78,64204.87,65840.01,68544,70811.3,73937.96,77435.22,80179.21,83020.15,80987.39,85005
DE26,33307.21,34929.96,35539.78,35732.7,36392.7,37523.21,38772.89,40494.34,40658.94,38973.71,41373.29,44416.04,45034.41,45816.21,47398.06,48545.3,50561.41,52632.5,53791.47,55248.64,53925.82,56798.61
DE27,43583.46,45377.98,47033.18,46558.27,47623.15,48659.39,51145.68,52542.09,53970.85,52354.07,55243,58841.17,60853.37,62294.17,65057.58,67430.32,70218.51,72794.68,75272.27,77913.81,76687.57,79803.17
DE30,85533.84,86367.67,86095.91,85340.75,85424.51,87187.99,90562.56,94579,98967.89,99191.64,103051.7,108111.27,109771.99,112881.34,118518.73,124913.91,133210.31,141322.11,149869.8,157086.01,156488.92,166036.11
DE40,44672.04,45763.64,46254.28,46598.38,47824.28,48463.26,50769.9,52818.65,54620.62,53377.12,55769.62,57467.92,58904.61,60536.7,63741.58,65348.29,67453.09,70643.98,72761.37,76060.67,75689.9,80852.01
DE50,22289.77,23072.93,23656.8,24273.11,24445.62,24848.38,26077.31,26985.11,27324.66,24897.18,26358.48,27245.11,28516.51,28824.27,29797.97,30494,31359.68,32388.65,32926.18,33184.51,32165.11,35309.13
DE60,77837.34,82158.44,83116.2,83480.2,85435.59,87134.97,88324.63,91470.39,94516.24,91128.76,93642.59,94663.57,97009.22,101144.78,103431.26,108166.3,110541.4,116588.58,119035.09,124832.01,119905.72,131604.17
DE71,139545.29,145161.08,144968.67,149209.57,151295.46,152259.61,157090.29,162472.48,164426.69,157962.29,162967.9,170367.27,170938.06,174958.73,182514.07,187006.04,194648.3,201150.69,205559.34,212251.01,207061.48,219803.01
DE72,24299.71,24977.89,25211.83,25492.16,26319.32,26651.77,27433.75,28810.88,29666.56,27464.65,28420.16,29723.63,29788.44,30246.45,31700.69,32374.59,33642.85,35130.03,36245.5,37393.66,36846.53,39139.39
DE73,29740.83,30622.63,31208.47,32276.84,32355.15,32319.01,33553.13,34832.76,35089.57,33954.37,35315.34,36836.27,37224.63,38254.03,39550.43,40882.32,42863.59,43813.48,44470.7,46126.39,44243.99,47019.2
DE80,29253.35,29686.05,29881.58,30069.59,30438.38,30457.09,31447.84,33054.94,33876.54,33582.88,34651.38,36159.9,36420.65,37627.02,39406.52,40070.43,41088.88,44182.99,44341.5,47611.41,46879.86,49826.38
DE91,45560.04,46777.13,45389.86,45986.71,47066.35,48834.65,50593.27,53902.07,54987.8,51182.92,56338.4,60910.94,61477.76,62307.85,65656.08,63148.81,74103.35,74136.53,78008.08,81784.34,75859.39,78079.34
DE92,54345.43,54888.8,55622.88,55747.33,56374.25,58927.35,62062.99,63121.61,65179.48,62736.56,65459.62,68978.71,70175.31,70113.88,72946.28,74293.55,78183.78,80200.61,82720.41,85698.76,83873.42,88294.58
DE93,30211.12,30573.95,30753.98,30972.3,31739.09,31963.09,33328.31,34955.44,35599.7,34623.01,35994.95,38097.95,39512.83,40637.28,42617.31,43722.74,44621.38,46227.43,47856.08,50291.11,50566.71,52895.16
DE94,53595.69,54893.35,54357.34,54756.01,57108.4,57602.83,60872.99,63937.73,66125.86,63824.89,67967.34,71737.37,73651.09,74824.08,77838.15,80233.53,83702.98,87336.98,88901.9,93155.5,93241.87,97289.15
DEA1,147305.96,152592.76,153651.85,154797.24,159296.05,160613.63,164320.96,175252.26,182716.78,174315.7,176390.54,182797,182687.74,185682.15,192576.12,197320.04,201660.25,210123.17,217664.27,221071.15,217638.47,230763.96
DEA2,124729.89,127177.31,132363.33,129666.55,132726.48,132486.67,138612.09,145939.66,145929.15,143401.51,146643.46,151827.32,154238.55,159228.19,165778.28,174214.81,178093.87,185499.06,192755.73,195011.51,190382.16,202230.05
DEA3,56589.93,58016.72,58301.21,58975.41,61395.64,62326.57,65089.43,68662.18,70872.99,67360.72,70468.55,73573.73,74530.69,74726.53,76806.43,79304.26,82180.27,85736.98,87998.18,91275.86,91528.14,95940.18
DEA4,51388.85,51977.65,52127.95,52245.73,53176.33,54457.19,56241.8,59940.57,60558.19,58126.98,59844.16,63450.54,64849.37,66773.78,69971.72,71378.8,73861.86,75935.9,78453.38,81205.3,81226.54,84547.71
DEA5,85162.49,85748.34,86525.42,87348.56,89596.34,91402,94298.87,98947.16,101755.95,96713.1,100865.98,105474.08,106403.71,107945.66,112337.85,115052.53,117578.4,121675.23,125969.45,128914.04,126092.36,133884.55
DEB1,33225.01,33289.74,34097.15,34322.16,35281.88,35497.92,36839.19,38008.69,38503.65,37144.75,38776.33,40457.75,41267.31,42237.16,44215.3,45616.4,46651.52,48811.19,50108.12,51814.92,51520.95,54555.14
DEB2,10259.93,10393.22,10722.34,11006.96,11310.61,11318.68,11634.45,12124.11,12433.52,12062.59,12622.91,13344.39,13572.83,14059.36,14459.04,14997.98,15533.25,15784.08,16200.35,16691.83,16608.43,17182.65
DEB3,50132.45,50168.09,50905.62,51028.96,52717.89,52749.07,54993.83,57803.5,58526.81,56955.54,61075.35,63520.53,65649.93,66719.63,68853.36,72309.51,74116.5,75522.08,76864.1,78547.73,76356.77,90653.87
DEC0,25343.3,25899.37,25851.79,26107.04,27243.97,28541.97,29768.19,31137.94,31491.89,28517.04,30048.54,31789.9,32017.61,31715.72,33254.37,34038.66,34264.01,35346.99,35862.23,35860.92,34618.32,36341.03
DED2,29752.31,31021.35,32383.92,33351.87,34498.59,34342.31,35566.89,37245.19,37320.41,36379.66,37722.45,39168.53,39808.12,41235.17,43143.66,45499.73,46681.56,48432.02,50105.73,52167.21,51643.56,54175.69
DED4,27361.58,27945.33,28644.15,29025.8,29737.09,29654.27,31306.06,32644.38,32902.66,31399.6,33038.63,34551.6,34866.16,35201.01,36883.19,37870.38,39060.19,40353.82,41096.57,42316.09,41233.19,43106.82
DED5,18495.46,19075.31,19646.63,19961.48,20367.76,20384.12,21813.2,22767.35,23353.66,23068.83,24057.08,25683.09,26655.58,27702.55,29300.69,30217.79,31495.08,33058.36,33987.62,35923.62,35735.98,38033.16
DEE0,42470.04,43108.2,44510.69,44755.93,45627.73,45598.7,47698.85,49845.62,50591.6,48315.91,51119.81,51982.67,54120.08,55049.22,56317.91,57395.94,58990.85,60908.52,62104,64743.64,64157.41,68270.62
DEF0,63740.39,65653.19,64774.29,65471.79,66893.51,67269.41,69368.32,71051.97,73297.53,71275.29,72934.88,75930.13,78768.27,80006.91,82868.07,84799.05,87511.53,92619.9,95036.97,99650.81,99612.05,105138.32
DEG0,39524.76,40561.68,41087.28,41893.94,42829.72,42812.92,44619.15,46548.04,47010.92,45105.84,47828.59,50625.42,51362.82,53400.89,56196.53,57475.51,59008.12,61180.4,62243.96,63841.81,63191.95,66397.29
EE00,6171.64,6987.07,7822.58,8744.43,9777.46,11343.27,13568.93,16401.33,16618.06,14131.86,14741.1,16677.26,17916.68,18910.78,20048.23,20631.36,21747.91,23833.61,25932.18,27951.02,27429.98,31168.97
IE04,11406.68,12606.01,13804.4,15095.45,16295.37,17900.65,18891.25,20400.25,21538.54,17749.62,16462.64,16674.17,16819.06,17996.08,20202.17,19991.69,21791.49,22356.91,23285.13,26759.53,29585.29,32651.53
IE05,33743.15,38784.15,43841.49,44645.66,47042.62,51797.69,56206.8,58345.82,49963.01,49691.02,51229,50716.63,47602.83,48762.89,57937.29,110881.65,107609.13,113065.07,117380.55,127512.08,133954.97,162987.77
