NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
DE23,1074338,1079217,1085609,1088929,1089826,1090289,1089543,1087939,1086684,1083780,1081417,1071424,1072091,1074738,1077991,1082761,1092339,1098378,1104407,1109269,1112102,1112267
DE24,1114155,1113251,1113788,1112655,1109674,1106541,1101390,1094525,1088845,1082516,1076400,1065322,1061573,1058711,1056365,1055955,1059358,1062394,1066840,1067482,1065371,1062085
DE25,1683282,1689066,1698343,1703869,1706615,1708972,1712275,1712622,1714123,1712405,1710145,1679849,1688414,1698515,1707376,1715195,1738686,1750059,1759643,1770401,1775169,1775704
DE26,1333803,1335991,1340912,1344300,1344740,1344629,1341481,1337876,1334767,1327497,1321957,1302144,1299076,1297727,1297992,1298849,1306048,1309209,1313375,1317124,1317619,1317507
DE27,1745576,1753447,1767193,1776465,1782386,1786166,1788919,1786764,1788329,1786483,1784753,1778244,1783119,1792759,1806025,1821271,1846020,1857991,1873368,1887754,1899442,1905841
DE30,3386667,3382169,3388434,3392425,3388477,3387828,3395189,3404037,3416255,3431675,3442675,3278346,3326002,3375222,3421829,3469849,3520031,3574830,3613495,3644826,3669491,3664088
DE40,2601207,2601962,2593040,2582379,2574521,2567704,2559483,2547772,2535737,2522493,2511525,2461242,2453180,2449511,2449193,2457872,2484826,2494648,2504040,2511917,2521893,2531071
DE50,663065,660225,659651,662098,663129,663213,663467,663979,663082,661866,661716,651467,652182,654774,657391,661888,671489,678753,681032,682986,681202,680130
DE60,1704735,1715392,1726363,1728806,1734083,1734830,1743627,1754182,1770629,1772100,1774224,1705700,1718187,1734272,1746342,1762791,1787408,1810438,1830584,1841179,1847253,1852478
DE71,3719354,3737589,3746852,3761749,3762995,3775025,3778124,3772906,3780232,3784767,3792941,3734199,3763611,3791381,3822479,3863818,3922369,3951234,3978050,3998724,4019961,4026618
DE72,1063503,1063538,1065028,1065909,1065467,1064228,1061323,1057553,1053259,1048683,1044269,1027159,1025525,1023277,1023150,1029020,1040091,1043643,1045807,1047262,1048646,1048740
DE73,1269109,1267002,1265946,1263960,1260966,1258512,1252907,1244900,1239064,1231503,1224741,1208050,1204635,1201823,1199796,1201050,1213712,1218211,1219405,1219823,1219473,1217796
DE80,1789322,1775703,1759877,1744624,1732226,1719653,1707266,1693754,1679682,1664356,1651216,1614789,1606899,1600327,1596505,1599138,1612362,1610674,1611119,1609675,1608138,1610774
DE91,1669634,1668603,1666864,1665368,1662595,1658918,1650435,1641776,1633318,1623649,1616720,1579623,1575968,1574527,1574936,1579754,1598164,1595609,1595734,1596396,1594929,1590577
DE92,2152759,2158307,2163904,2167876,2167157,2166626,2163919,2160253,2156841,2149181,2142440,2093945,2093431,2094931,2099079,2108413,2132290,2139976,2144120,2149805,2148238,2147704
DE93,1660653,1672467,1683438,1692192,1698434,1702971,1704133,1702938,1701132,1696643,1693654,1669999,1667127,1667332,1670199,1677715,1699969,1703945,1706464,1710914,1716448,1722474
DE94,2415714,2426816,2442210,2455036,2465229,2472394,2475459,2477718,2480393,2477771,2476001,2435261,2437727,2442205,2446345,2460857,2496176,2506155,2516457,2525333,2533993,2542666
DEA1,5264468,5254317,5255328,5249280,5245132,5237855,5226648,5217129,5208288,5191042,5172839,5081231,5077103,5081061,5088748,5108290,5173623,5190790,5198820,5202321,5207457,5200090
DEA2,4263675,4281548,4309953,4331419,4350368,4363797,4378622,4384669,4391062,4386271,4383044,4282911,4299064,4315912,4333015,4361724,4422371,4439416,4454228,4468904,4478847,4475530
DEA3,2608779,2612301,2620240,2625637,2625745,2624489,2622623,2619372,2614361,2605365,2597636,2568358,2572221,2572390,2574148,2580664,2614229,2619376,2621153,2623619,2624625,2624719
DEA4,2048620,2055795,2063244,2069290,2071803,2072488,2069758,2065413,2059198,2050638,2043212,2031337,2027126,2025415,2024392,2029648,2057996,2054205,2054343,2055310,2055724,2054178
DEA5,3814258,3805904,3803327,3800729,3786638,3776723,3760454,3742162,3723712,3699748,3676032,3581355,3569424,3559551,3551553,3557772,3597297,3586313,3583590,3582497,3580568,3571053
DEB1,1516237,1519561,1524695,1527611,1527919,1527507,1521494,1513939,1507919,1499457,1490711,1486160,1480166,1476237,1474378,1477202,1488308,1492187,1493055,1495885,1498223,1500830
DEB2,511548,511754,512990,513702,513755,513861,513363,515819,515972,515322,513794,518554,518370,518289,519136,521863,532715,528728,529597,531007,533113,534438
DEB3,2002988,2003242,2011381,2016414,2017008,2019737,2023986,2023102,2021752,2013572,2008170,1989471,1991497,1995752,2000852,2012517,2031780,2045138,2051027,2057952,2062567,2063123
DEC0,1071501,1068703,1066470,1064988,1061376,1056417,1050293,1043167,1036598,1030324,1022585,1001879,997855,994287,990718,989035,995597,996651,994187,990509,986887,983991
DED2,1724703,1712562,1695745,1683138,1674343,1667676,1662482,1657114,1646716,1638111,1631486,1594568,1591710,1591320,1590927,1592765,1602754,1600155,1598573,1598199,1596566,1589888
DED4,1590968,1582728,1574488,1566249,1558009,1549769,1541530,1533290,1525050,1516811,1508571,1505254,1491442,1480210,1468954,1463341,1465612,1454144,1444953,1436445,1426380,1413730
DED5,855941,865679,875417,885155,894892,904630,914368,924106,933844,943581,953319,966434,971030,978674,986504,999168,1016485,1027484,1037782,1043293,1049025,1053323
DEE0,2648737,2615375,2580626,2548911,2522941,2494437,2469716,2441787,2412472,2381872,2356219,2297386,2276736,2259393,2244577,2235548,2245470,2236252,2223081,2208321,2194782,2180684
DEF0,2777275,2789761,2804249,2816507,2823171,2828760,2832950,2834254,2837373,2834260,2832027,2800134,2802266,2806531,2815955,2830864,2858714,2881926,2889821,2896712,2903773,2910875
DEG0,2449082,2431255,2411387,2392040,2373157,2355280,2334575,2311140,2289219,2267763,2249882,2195344,2181603,2170460,2160840,2156759,2170714,2158128,2151205,2143145,2133378,2120237
EE00,1401250,1392720,1383510,1375190,1366250,1358850,1350700,1342920,1338440,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820,1328976,1330068
IE04,736554,743628,750701,757775,764848,771922,778995,786069,793143,800216,807290,814363,832082,834236,833748,833830,839204,851642,860162,872406,883740,891624
IE05,1355189,1370015,1384840,1399665,1414491,1429316,1444141,1458967,1473792,1488618,1503443,1518268,1547097,1556247,1563179,1567206,1575504,1596373,1614582,1640305,1661545,1676038
IE06,1776040,1810127,1844214,1878302,1912389,1946476,1980563,2014650,2048737,2082824,2116911,2150998,2210108,2219296,2240925,2276591,2311578,2351142,2380989,2427600,2467315,2499231
EL30,3871527,3895899,3894259,3916875,3935254,3952793,3971441,3982602,3990727,3999457,4002871,3992912,3963887,3912849,3863763,3822843,3781274,3773559,3756453,3742235,3738901,3736737
EL41,196904,196774,199375,199375,199160,199177,199187,198191,198675,199517,200179,200831,200591,199478,198581,197695,196654,203700,211137,221098,229516,229155
EL42,305954,311212,315878,317315,318813,321798,324712,327471,329525,331815,332652,333983,334780,334652,334802,334865,334791,338383,340870,344027,347512,347848
EL43,575599,579672,589844,593143,596426,600490,604682,608988,613144,618317,623113,627144,629367,630085,630889,631513,631812,632674,633506,634930,636504,636766
EL51,582750,584283,589489,592085,594512,597258,600034,602965,605411,608639,610112,611573,612074,610102,608214,606490,604504,602799,601175,599723,598613,594905
